MLSAreaMajor,closed_sales,median_close_price,average_close_price,median_price_per_sqft,average_days_on_market,average_close_to_original_list_ratio
651 - Rosemead/S. San Gabriel,587,796000.0,719064.4395229983,526.2068965517242,40.240204429301535,1.0157726958284292
92014 - Del Mar,583,1225000.0,1971915.8113207547,789.4881893203194,46.48885077186964,6.214870144620785
R2 - Rancho Santa Margarita Central,580,637000.0,598576.2793103448,577.9152637262628,26.486206896551725,0.9864048412967263
608 - Baldwin Pk/Irwindale,578,650000.0,610930.7821799308,492.6018044648372,31.866782006920417,8.801262052191692
142 - Manhattan Bch Sand,576,20000.0,1900156.767361111,7.6,55.47743055555556,1.050140431313738
VC31 - Oxnard - Northwest,575,710000.0,654980.7513043479,415.6232782369146,39.72869565217391,1.027293238224047
634 - La Canada Flintridge,575,1800000.0,1813927.1130434782,847.6310805321831,32.92,2.6068960519462996
89 - Tustin Ranch,575,8000.0,2136412.1026086956,4.2727272727272725,25.11130434782609,1681.6787119684288
92082 - Valley Center,574,857250.0,831329.043554007,374.63976945244957,55.36062717770035,2.6805362665116985
LUV - Lucerne Valley,571,41000.0,124779.4938704028,189.7810218978102,98.33800350262698,0.9112042313252426
BOYH - Boyle Heights,570,627500.0,572475.4391578947,352.8225806451613,55.290718038528894,2.593748399162086
CAC - California City,563,20000.0,148373.78507992896,171.7233009708738,84.7797513321492,0.9627006697206139
R1 - Rancho Santa Margarita North,563,643000.0,600691.5595026643,605.46875,29.55595026642984,8.830438292493945
"3 - Eastside, Circle Area",562,525000.0,616536.4733096085,511.5117175551729,41.85231316725979,0.9802080678139179
92107 - Ocean Beach,562,1268000.0,1344873.987544484,806.5886699507389,34.137010676156585,0.9654328133657458
661 - Temple City,561,930000.0,834249.2709447416,599.7876857749469,29.89126559714795,1.0400623990529847
VC41 - Camarillo Central,557,765000.0,617901.7753321364,456.5217391304348,32.52962298025135,0.9805957129801299
DO - Del Obispo,552,542450.0,866120.7952898551,406.6478076379066,46.835144927536234,0.9848253737637392
92110 - Old Town Sd,550,701000.0,911638.9236363636,651.0791366906475,29.987272727272728,3.889066788994172
621 - El Sereno,549,761999.0,666761.8451730419,602.8899410398428,40.790528233151186,2.661733636993493
C02 - Beverly Hills Post Office,546,1242500.0,2561815.230769231,578.9621849818889,63.77838827838828,0.9254160284258627
NTS - North Tustin,544,1579000.0,1585578.6373713235,671.3709974100889,34.07720588235294,0.9787142770307748
92102 - San Diego,543,692000.0,743539.8784530386,589.7177419354839,34.73848987108656,2.7059736057475865
618 - Eagle Rock,538,1099500.0,948931.0687732341,707.1008979934414,30.70817843866171,1.0348363911824734
LKBL - Lake Balboa,537,700000.0,568117.6648044693,463.9402433529505,38.32960893854749,0.9858348348277066
658 - So. Pasadena,531,1236450.0,1254527.9173822976,742.7472911569381,31.04708097928437,1.0613911046487448
NPMO - Nipomo,512,897250.0,1027895.8305664062,492.4578527062999,46.923828125,0.9895146806823373
NL - North Laguna,512,6825.0,1075762.2721289063,5.882352941176471,69.271484375,1.0005246080700725
BOUQ - Bouquet Canyon,509,780000.0,2323815.2298624753,466.45367412140575,31.328094302554028,2.8986489856747673
N6 - Newport Heights,509,13995.0,1163154.9548133595,4.67436974789916,42.73673870333988,3.8391113675112623
287 - Arrowhead Area,506,360136.0,363478.3320158103,303.2811559301625,91.1205533596838,1.2518686429479695
N8 - West Newport - Lido,506,29750.0,2185612.434782609,7.8763127187864646,57.66403162055336,2.246826017865609
PAC - Pacoima,505,675000.0,601880.9806336635,475.7533510263043,32.86930693069307,1.0065145510884643
92106 - Point Loma,502,1587500.0,1638451.9262948206,866.7283664969922,39.462151394422314,2.2605826315554394
HNDL - Helendale,500,316000.0,245761.936,194.64720194647202,73.52,0.9560492279260063
